Round1,2,500,confirmatory,400,499,400,499,100,6.173,E3_DGP2_n500_confirmatory_shard05_seeds400-499.ipynb,E3_DGP2_n500_confirmatory_shard05_seeds400-499.csv,account05,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,500,599,500,599,100,6.173,E3_DGP2_n500_confirmatory_shard06_seeds500-599.ipynb,E3_DGP2_n500_confirmatory_shard06_seeds500-599.csv,account06,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,600,699,600,699,100,6.173,E3_DGP2_n500_confirmatory_shard07_seeds600-699.ipynb,E3_DGP2_n500_confirmatory_shard07_seeds600-699.csv,account06,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,700,799,700,799,100,6.173,E3_DGP2_n500_confirmatory_shard08_seeds700-799.ipynb,E3_DGP2_n500_confirmatory_shard08_seeds700-799.csv,account06,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,800,899,800,899,100,6.173,E3_DGP2_n500_confirmatory_shard09_seeds800-899.ipynb,E3_DGP2_n500_confirmatory_shard09_seeds800-899.csv,account07,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,900,999,900,999,100,6.173,E3_DGP2_n500_confirmatory_shard10_seeds900-999.ipynb,E3_DGP2_n500_confirmatory_shard10_seeds900-999.csv,account07,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,0,99,0,99,100,6.173,E3_DGP3_n500_confirmatory_shard01_seeds000-099.ipynb,E3_DGP3_n500_confirmatory_shard01_seeds000-099.csv,account07,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,100,199,100,199,100,6.173,E3_DGP3_n500_confirmatory_shard02_seeds100-199.ipynb,E3_DGP3_n500_confirmatory_shard02_seeds100-199.csv,account08,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,200,299,200,299,100,6.173,E3_DGP3_n500_confirmatory_shard03_seeds200-299.ipynb,E3_DGP3_n500_confirmatory_shard03_seeds200-299.csv,account08,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,300,399,300,399,100,6.173,E3_DGP3_n500_confirmatory_shard04_seeds300-399.ipynb,E3_DGP3_n500_confirmatory_shard04_seeds300-399.csv,account08,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,400,499,400,499,100,6.173,E3_DGP3_n500_confirmatory_shard05_seeds400-499.ipynb,E3_DGP3_n500_confirmatory_shard05_seeds400-499.csv,account09,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,500,599,500,599,100,6.173,E3_DGP3_n500_confirmatory_shard06_seeds500-599.ipynb,E3_DGP3_n500_confirmatory_shard06_seeds500-599.csv,account09,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,600,699,600,699,100,6.173,E3_DGP3_n500_confirmatory_shard07_seeds600-699.ipynb,E3_DGP3_n500_confirmatory_shard07_seeds600-699.csv,account09,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,700,799,700,799,100,6.173,E3_DGP3_n500_confirmatory_shard08_seeds700-799.ipynb,E3_DGP3_n500_confirmatory_shard08_seeds700-799.csv,account10,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,800,899,800,899,100,6.173,E3_DGP3_n500_confirmatory_shard09_seeds800-899.ipynb,E3_DGP3_n500_confirmatory_shard09_seeds800-899.csv,account10,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,3,500,confirmatory,900,999,900,999,100,6.173,E3_DGP3_n500_confirmatory_shard10_seeds900-999.ipynb,E3_DGP3_n500_confirmatory_shard10_seeds900-999.csv,account10,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,100,confirmatory,0,332,0,332,333,6.852,E3_DGP1_n100_confirmatory_shard01_seeds000-332.ipynb,E3_DGP1_n100_confirmatory_shard01_seeds000-332.csv,account11,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,100,confirmatory,333,665,333,665,333,6.852,E3_DGP1_n100_confirmatory_shard02_seeds333-665.ipynb,E3_DGP1_n100_confirmatory_shard02_seeds333-665.csv,account11,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,100,confirmatory,666,999,666,999,334,6.872,E3_DGP1_n100_confirmatory_shard03_seeds666-999.ipynb,E3_DGP1_n100_confirmatory_shard03_seeds666-999.csv,account11,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
