paper_id,bibtex,entry_type,venue,publisher,year,peer_reviewed,publisher_type,publisher_family,publisher_type_source,doaj_listed,is_open_access,J_verbatim,J_numeric,J_report_reported,J_coding_rule,n_scenarios,J_is_outer_replication,confounded_with,justification_given,justification_quote,justification_type,is_arxiv_preprint
pmlr-v206-krantsevich23a,"@InProceedings{pmlr-v206-krantsevich23a,
  title = 	 {Stochastic Tree Ensembles for Estimating Heterogeneous Effects},
  author =       {Krantsevich, Nikolay and He, Jingyu and Hahn, P. Richard},
  booktitle = 	 {Proceedings of The 26th International Conference on Artificial Intelligence and Statistics},
  pages = 	 {6120--6131},
  year = 	 {2023},
  editor = 	 {Ruiz, Francisco and Dy, Jennifer and van de Meent, Jan-Willem},
  volume = 	 {206},
  series = 	 {Proceedings of Machine Learning Research},
  month = 	 {25--27 Apr},
  publisher =    {PMLR},
  pdf = 	 {https://proceedings.mlr.press/v206/krantsevich23a/krantsevich23a.pdf},
  url = 	 {https://proceedings.mlr.press/v206/krantsevich23a.html},
}",inproceedings,Proceedings of The 26th International Conference on Artificial Intelligence and Statistics,PMLR,2023,Y,conference,conference,entry type / proceedings title,0,0,200,200,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Abrevaya2015,"@article{Abrevaya2015,
  title = {Estimating Conditional Average Treatment Effects},
  volume = {33},
  ISSN = {1537-2707},
  url = {http://dx.doi.org/10.1080/07350015.2014.975555},
  DOI = {10.1080/07350015.2014.975555},
  number = {4},
  journal = {Journal of Business \& Economic Statistics},
  publisher = {Informa UK Limited},
  author = {Abrevaya,  Jason and Hsu,  Yu-Chin and Lieli,  Robert P.},
  year = {2015},
  month = oct,
  pages = {485–505}
}",article,Journal of Business \& Economic Statistics,Informa UK Limited,2015,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Yadlowsky2020,"@article{Yadlowsky2020,
  title = {Estimation and Validation of Ratio-based Conditional Average Treatment Effects Using Observational Data},
  volume = {116},
  ISSN = {1537-274X},
  url = {http://dx.doi.org/10.1080/01621459.2020.1772080},
  DOI = {10.1080/01621459.2020.1772080},
  number = {533},
  journal = {Journal of the American Statistical Association},
  publisher = {Informa UK Limited},
  author = {Yadlowsky,  Steve and Pellegrini,  Fabio and Lionetto,  Federica and Braune,  Stefan and Tian,  Lu},
  year = {2020},
  month = jul,
  pages = {335–352}
}",article,Journal of the American Statistical Association,Informa UK Limited,2020,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,400,400,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Huang2023a,"@article{Huang2023a,
  title = {Robust Inference of Conditional Average Treatment Effects Using Dimension Reduction},
  ISSN = {1017-0405},
  url = {http://dx.doi.org/10.5705/ss.202020.0409},
  DOI = {10.5705/ss.202020.0409},
  journal = {Statistica Sinica},
  publisher = {Statistica Sinica (Institute of Statistical Science)},
  author = {Huang,  Ming-Yueh and Yang,  Shu},
  year = {2023}
}",article,Statistica Sinica,Statistica Sinica (Institute of Statistical Science),2023,Y,hybrid/subscription,society,not listed in DOAJ,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
pmlr-v206-kuzmanovic23a,"@InProceedings{pmlr-v206-kuzmanovic23a,
  title = 	 {Estimating Conditional Average Treatment Effects with Missing Treatment Information},
  author =       {Kuzmanovic, Milan and Hatt, Tobias and Feuerriegel, Stefan},
  booktitle = 	 {Proceedings of The 26th International Conference on Artificial Intelligence and Statistics},
  pages = 	 {746--766},
  year = 	 {2023},
  editor = 	 {Ruiz, Francisco and Dy, Jennifer and van de Meent, Jan-Willem},
  volume = 	 {206},
  series = 	 {Proceedings of Machine Learning Research},
  month = 	 {25--27 Apr},
  publisher =    {PMLR},
  pdf = 	 {https://proceedings.mlr.press/v206/kuzmanovic23a/kuzmanovic23a.pdf},
  url = 	 {https://proceedings.mlr.press/v206/kuzmanovic23a.html},
}",inproceedings,Proceedings of The 26th International Conference on Artificial Intelligence and Statistics,PMLR,2023,Y,conference,conference,entry type / proceedings title,0,0,10,10,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Lee2017,"@article{Lee2017,
  title = {Doubly robust uniform confidence band for the conditional average treatment effect function},
  volume = {32},
  ISSN = {1099-1255},
  url = {http://dx.doi.org/10.1002/jae.2574},
  DOI = {10.1002/jae.2574},
  number = {7},
  journal = {Journal of Applied Econometrics},
  publisher = {Wiley},
  author = {Lee,  Sokbae and Okui,  Ryo and Whang,  Yoon‐Jae},
  year = {2017},
  month = may,
  pages = {1207–1225}
}",article,Journal of Applied Econometrics,Wiley,2017,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,5000,5000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Yadlowsky2022,"@article{Yadlowsky2022,
  title = {Bounds on the conditional and average treatment effect with unobserved confounding factors},
  volume = {50},
  ISSN = {0090-5364},
  url = {http://dx.doi.org/10.1214/22-AOS2195},
  DOI = {10.1214/22-aos2195},
  number = {5},
  journal = {The Annals of Statistics},
  publisher = {Institute of Mathematical Statistics},
  author = {Yadlowsky,  Steve and Namkoong,  Hongseok and Basu,  Sanjay and Duchi,  John and Tian,  Lu},
  year = {2022},
  month = oct 
}",article,The Annals of Statistics,Institute of Mathematical Statistics,2022,Y,hybrid/subscription,society,not listed in DOAJ,0,0,500,500,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Fuentes2021,"@article{Fuentes2021,
  title = {Causal Inference with Multilevel Data: A Comparison of Different Propensity Score Weighting Approaches},
  volume = {57},
  ISSN = {1532-7906},
  url = {http://dx.doi.org/10.1080/00273171.2021.1925521},
  DOI = {10.1080/00273171.2021.1925521},
  number = {6},
  journal = {Multivariate Behavioral Research},
  publisher = {Informa UK Limited},
  author = {Fuentes,  Alvaro and L\""{u}dtke,  Oliver and Robitzsch,  Alexander},
  year = {2021},
  month = jun,
  pages = {916–939}
}",article,Multivariate Behavioral Research,Informa UK Limited,2021,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
https://doi.org/10.48550/arxiv.2212.03578,"@misc{https://doi.org/10.48550/arxiv.2212.03578,
  doi = {10.48550/ARXIV.2212.03578},
  url = {https://arxiv.org/abs/2212.03578},
  author = {McClean,  Alec and Branson,  Zach and Kennedy,  Edward H.},
  keywords = {Methodology (stat.ME),  Statistics Theory (math.ST),  FOS: Computer and information sciences,  FOS: Computer and information sciences,  FOS: Mathematics,  FOS: Mathematics},
  title = {Nonparametric Estimation of Conditional Incremental Effects},
  publisher = {arXiv},
  year = {2022},
  copyright = {Creative Commons Attribution 4.0 International}
}",misc,,arXiv,2022,N,preprint,preprint-server,entry type @misc,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,1
https://doi.org/10.48550/arxiv.2004.14497,"@misc{https://doi.org/10.48550/arxiv.2004.14497,
  doi = {10.48550/ARXIV.2004.14497},
  url = {https://arxiv.org/abs/2004.14497},
  author = {Kennedy,  Edward H.},
  keywords = {Statistics Theory (math.ST),  FOS: Mathematics,  FOS: Mathematics},
  title = {Towards optimal doubly robust estimation of heterogeneous causal effects},
  publisher = {arXiv},
  year = {2020},
  copyright = {arXiv.org perpetual,  non-exclusive license}
}",misc,,arXiv,2020,N,preprint,preprint-server,entry type @misc,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,1
pmlr-v119-witty20a,"@InProceedings{pmlr-v119-witty20a,
  title = 	 {Causal Inference using {G}aussian Processes with Structured Latent Confounders},
  author =       {Witty, Sam and Takatsu, Kenta and Jensen, David and Mansinghka, Vikash},
  booktitle = 	 {Proceedings of the 37th International Conference on Machine Learning},
  pages = 	 {10313--10323},
  year = 	 {2020},
  editor = 	 {III, Hal Daumé and Singh, Aarti},
  volume = 	 {119},
  series = 	 {Proceedings of Machine Learning Research},
  month = 	 {13--18 Jul},
  publisher =    {PMLR},
  pdf = 	 {http://proceedings.mlr.press/v119/witty20a/witty20a.pdf},
  url = 	 {https://proceedings.mlr.press/v119/witty20a.html},
}",inproceedings,Proceedings of the 37th International Conference on Machine Learning,PMLR,2020,Y,conference,conference,entry type / proceedings title,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Huang2023b,"@article{Huang2023b,
  title = {GPMatch: A Bayesian causal inference approach using Gaussian process covariance function as a matching tool},
  volume = {9},
  ISSN = {2297-4687},
  url = {http://dx.doi.org/10.3389/fams.2023.1122114},
  DOI = {10.3389/fams.2023.1122114},
  journal = {Frontiers in Applied Mathematics and Statistics},
  publisher = {Frontiers Media SA},
  author = {Huang,  Bin and Chen,  Chen and Liu,  Jinzhong and Sivaganisan,  Siva},
  year = {2023},
  month = mar 
}",article,Frontiers in Applied Mathematics and Statistics,Frontiers Media SA,2023,Y,gold-OA,commercial,DOAJ exact title match (2297-4687),1,1,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Wang2023,"@article{Wang2023,
  title = {Local Gaussian Process Extrapolation for BART Models with Applications to Causal Inference},
  ISSN = {1537-2715},
  url = {http://dx.doi.org/10.1080/10618600.2023.2240384},
  DOI = {10.1080/10618600.2023.2240384},
  journal = {Journal of Computational and Graphical Statistics},
  publisher = {Informa UK Limited},
  author = {Wang,  Meijia and He,  Jingyu and Hahn,  P. Richard},
  year = {2023},
  month = jul,
  pages = {1–12}
}",article,Journal of Computational and Graphical Statistics,Informa UK Limited,2023,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,20,20,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Nie2020,"@article{Nie2020,
  title = {Quasi-oracle estimation of heterogeneous treatment effects},
  volume = {108},
  ISSN = {1464-3510},
  url = {http://dx.doi.org/10.1093/biomet/asaa076},
  DOI = {10.1093/biomet/asaa076},
  number = {2},
  journal = {Biometrika},
  publisher = {Oxford University Press (OUP)},
  author = {Nie,  X and Wager,  S},
  year = {2020},
  month = sep,
  pages = {299–319}
}",article,Biometrika,Oxford University Press (OUP),2020,Y,hybrid/subscription,university-press,not listed in DOAJ,0,0,500,500,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Horii2024,"@article{Horii2024,
  title = {Uncertainty Quantification in Heterogeneous Treatment Effect Estimation with Gaussian-Process-Based Partially Linear Model},
  volume = {38},
  ISSN = {2159-5399},
  url = {http://dx.doi.org/10.1609/aaai.v38i18.30025},
  DOI = {10.1609/aaai.v38i18.30025},
  number = {18},
  journal = {Proceedings of the AAAI Conference on Artificial Intelligence},
  publisher = {Association for the Advancement of Artificial Intelligence (AAAI)},
  author = {Horii,  Shunsuke and Chikahara,  Yoichi},
  year = {2024},
  month = mar,
  pages = {20420–20429}
}",article,Proceedings of the AAAI Conference on Artificial Intelligence,Association for the Advancement of Artificial Intelligence (AAAI),2024,Y,conference,conference,entry type / proceedings title,0,0,500,500,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Vegetabile2019,"@article{Vegetabile2019,
  title = {Optimally Balanced Gaussian Process Propensity Scores for Estimating Treatment Effects},
  volume = {183},
  ISSN = {1467-985X},
  url = {http://dx.doi.org/10.1111/rssa.12502},
  DOI = {10.1111/rssa.12502},
  number = {1},
  journal = {Journal of the Royal Statistical Society Series A: Statistics in Society},
  publisher = {Oxford University Press (OUP)},
  author = {Vegetabile,  Brian G. and Gillen,  Daniel L. and Stern,  Hal S.},
  year = {2019},
  month = sep,
  pages = {355–377}
}",article,Journal of the Royal Statistical Society Series A: Statistics in Society,Oxford University Press (OUP),2019,Y,hybrid/subscription,university-press,not listed in DOAJ,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Knzel2019,"@article{Knzel2019,
  title = {Metalearners for estimating heterogeneous treatment effects using machine learning},
  volume = {116},
  ISSN = {1091-6490},
  url = {http://dx.doi.org/10.1073/pnas.1804597116},
  DOI = {10.1073/pnas.1804597116},
  number = {10},
  journal = {Proceedings of the National Academy of Sciences},
  publisher = {Proceedings of the National Academy of Sciences},
  author = {K\""{u}nzel,  S\""{o}ren R. and Sekhon,  Jasjeet S. and Bickel,  Peter J. and Yu,  Bin},
  year = {2019},
  month = feb,
  pages = {4156–4165}
}",article,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,2019,Y,hybrid/subscription,society,not listed in DOAJ,0,0,30,30,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Suk2020,"@article{Suk2020,
  title = {Random Forests Approach for Causal Inference with Clustered Observational Data},
  volume = {56},
  ISSN = {1532-7906},
  url = {http://dx.doi.org/10.1080/00273171.2020.1808437},
  DOI = {10.1080/00273171.2020.1808437},
  number = {6},
  journal = {Multivariate Behavioral Research},
  publisher = {Informa UK Limited},
  author = {Suk,  Youmi and Kang,  Hyunseung and Kim,  Jee-Seon},
  year = {2020},
  month = aug,
  pages = {829–852}
}",article,Multivariate Behavioral Research,Informa UK Limited,2020,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,1000,1000,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Grimmer2017,"@article{Grimmer2017,
  title = {Estimating Heterogeneous Treatment Effects and the Effects of Heterogeneous Treatments with Ensemble Methods},
  volume = {25},
  ISSN = {1476-4989},
  url = {http://dx.doi.org/10.1017/pan.2017.15},
  DOI = {10.1017/pan.2017.15},
  number = {4},
  journal = {Political Analysis},
  publisher = {Cambridge University Press (CUP)},
  author = {Grimmer,  Justin and Messing,  Solomon and Westwood,  Sean J.},
  year = {2017},
  month = sep,
  pages = {413–434}
}",article,Political Analysis,Cambridge University Press (CUP),2017,Y,hybrid/subscription,university-press,not listed in DOAJ,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
Powers2018,"@article{Powers2018,
  title = {Some methods for heterogeneous treatment effect estimation in high dimensions},
  volume = {37},
  ISSN = {1097-0258},
  url = {http://dx.doi.org/10.1002/sim.7623},
  DOI = {10.1002/sim.7623},
  number = {11},
  journal = {Statistics in Medicine},
  publisher = {Wiley},
  author = {Powers,  Scott and Qian,  Junyang and Jung,  Kenneth and Schuler,  Alejandro and Shah,  Nigam H. and Hastie,  Trevor and Tibshirani,  Robert},
  year = {2018},
  month = mar,
  pages = {1767–1787}
}",article,Statistics in Medicine,Wiley,2018,Y,hybrid/subscription,commercial,not listed in DOAJ,0,0,50,50,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
NEURIPS2021_8526e096,"@inproceedings{NEURIPS2021_8526e096,
 author = {Curth, Alicia and van der Schaar, Mihaela},
 booktitle = {Advances in Neural Information Processing Systems},
 editor = {M. Ranzato and A. Beygelzimer and Y. Dauphin and P.S. Liang and J. Wortman Vaughan},
 pages = {15883--15894},
 publisher = {Curran Associates, Inc.},
 title = {On Inductive Biases for Heterogeneous Treatment Effect Estimation},
 url = {https://proceedings.neurips.cc/paper_files/paper/2021/file/8526e0962a844e4a2f158d831d5fddf7-Paper.pdf},
 volume = {34},
 year = {2021}
}",inproceedings,Advances in Neural Information Processing Systems,"Curran Associates, Inc.",2021,Y,conference,conference,entry type / proceedings title,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,0
https://doi.org/10.48550/arxiv.2202.01336,"@misc{https://doi.org/10.48550/arxiv.2202.01336,
  doi = {10.48550/ARXIV.2202.01336},
  url = {https://arxiv.org/abs/2202.01336},
  author = {Zhang,  Yi-Fan and Zhang,  Hanlin and Lipton,  Zachary C. and Li,  Li Erran and Xing,  Eric P.},
  keywords = {Machine Learning (cs.LG),  FOS: Computer and information sciences,  FOS: Computer and information sciences},
  title = {Exploring Transformer Backbones for Heterogeneous Treatment Effect Estimation},
  publisher = {arXiv},
  year = {2022},
  copyright = {arXiv.org perpetual,  non-exclusive license}
}",misc,,arXiv,2022,N,preprint,preprint-server,entry type @misc,0,0,100,100,1,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,,REVIEW_REQUIRED,1
